坐标,强度值
2.55111,27644900.0
2.5603,-306397000.0
2.5695,-29999100.0
2.57869,213209000.0
2.58788,190353000.0
2.59707,-55502800.0
2.60627,54986800.0
2.61546,200669000.0
2.62465,-100638000.0
2.63384,-311778000.0
2.64304,-384041000.0
2.65223,-511106000.0
2.66142,182308000.0
2.67061,48266200.0
2.67981,141542000.0
2.689,-389260000.0
2.69819,-105461000.0
2.70738,-216112000.0
2.71657,6197250.0
2.72577,153686000.0
2.73496,-222102000.0
2.74415,-158415000.0
2.75334,-175376000.0
2.76254,-33486800.0
2.77173,-66134000.0
2.78092,-307794000.0
2.79011,219098000.0
2.79931,97527800.0
2.8085,26250200.0
2.81769,252798000.0
2.82688,89750500.0
2.83608,42616800.0
2.84527,-133574000.0
2.85446,-170880000.0
2.86365,-331261000.0
2.87285,-146374000.0
2.88204,-77564900.0
2.89123,138507000.0
2.90042,170068000.0
2.90962,-59763700.0
2.91881,-403732000.0
2.928,162706000.0
2.93719,-4642820.0
2.94639,78731300.0
2.95558,75084800.0
2.96477,275191000.0
2.97396,448101000.0
2.98316,281452000.0
2.99235,105301000.0
3.00154,84456400.0
3.01073,229156000.0
3.01992,173240000.0
3.02912,286126000.0
3.03831,20098000.0
3.0475,10751000.0
3.05669,35919900.0
3.06589,187284000.0
3.07508,179738000.0
3.08427,56750100.0
3.09346,74640400.0
3.10266,-428133000.0
3.11185,-36946900.0
3.12104,-81044500.0
3.13023,50585600.0
3.13943,158547000.0
3.14862,209404000.0
3.15781,-53775400.0
3.167,-156913000.0
3.1762,-229726000.0
3.18539,-10607600.0
3.19458,-448802000.0
3.20377,-168733000.0
3.21297,-256383000.0
3.22216,-227696000.0
3.23135,201249000.0
3.24054,430340000.0
3.24974,-157713000.0
3.25893,92292100.0
3.26812,25100300.0
3.27731,33940500.0
3.28651,4613120.0
3.2957,-23930900.0
3.30489,242063000.0
3.31408,487547000.0
3.32327,255435000.0
3.33247,-190849000.0
3.34166,124649000.0
3.35085,356575000.0
3.36004,133212000.0
3.36924,164114000.0
3.37843,-323412000.0
3.38762,-335869000.0
3.39681,-152033000.0
3.40601,133422000.0
3.4152,-42134500.0
3.42439,-46144500.0
3.43358,-277408000.0
3.44278,-43626500.0
3.45197,-346667000.0
3.46116,-223482000.0
3.47035,-310347000.0
3.47955,-267922000.0
3.48874,-49422300.0
3.49793,-294371000.0
3.50712,-196564000.0
3.51632,243956000.0
3.52551,61753300.0
3.5347,-355854000.0
3.54389,-358204000.0
3.55309,34976800.0
3.56228,-257536000.0
3.57147,19270700.0
3.58066,-89707500.0
3.58986,354898000.0
3.59905,348496000.0
3.60824,-18224100.0
3.61743,133231000.0
3.62662,-376392000.0
3.63582,-436200000.0
3.64501,-112130000.0
3.6542,-247642000.0
3.66339,-240825000.0
3.67259,41669600.0
3.68178,47697900.0
3.69097,50017300.0
3.70016,-223159000.0
3.70936,187708000.0
3.71855,47967200.0
3.72774,411569000.0
3.73693,291672000.0
3.74613,-100502000.0
3.75532,198960000.0
3.76451,149854000.0
3.7737,-74161200.0
3.7829,-199103000.0
3.79209,94013400.0
3.80128,-15227900.0
3.81047,-299525000.0
3.81967,31598600.0
3.82886,19526700.0
3.83805,247534000.0
3.84724,283961000.0
3.85644,312957000.0
3.86563,92118000.0
3.87482,183834000.0
3.88401,96314400.0
3.89321,-72730600.0
3.9024,-241996000.0
3.91159,59270100.0
3.92078,-80095200.0
3.92997,2585600.0
3.93917,332264000.0
3.94836,113375000.0
3.95755,65242100.0
3.96674,-79854600.0
3.97594,-91846700.0
3.98513,7256060.0
3.99432,-475469000.0
4.00351,151735000.0
4.01271,-190243000.0
4.0219,-377273000.0
4.03109,-164451000.0
4.04028,-62353400.0
4.04948,-124219000.0
4.05867,-234039000.0
4.06786,-185731000.0
4.07705,105062000.0
4.08625,-54639600.0
4.09544,-269527000.0
4.10463,19134500.0
4.11382,-13484000.0
4.12302,147208000.0
4.13221,96845800.0
4.1414,201639000.0
4.15059,-110900000.0
4.15979,79818800.0
4.16898,-16585700.0
4.17817,28052500.0
4.18736,-40724500.0
4.19656,-164193000.0
4.20575,238460000.0
4.21494,144093000.0
4.22413,-420460000.0
4.23332,-148165000.0
4.24252,-5376000.0
4.25171,285657000.0
4.2609,-22273000.0
4.27009,-112729000.0
4.27929,-2868220.0
4.28848,-159517000.0
4.29767,125394000.0
4.30686,205024000.0
4.31606,-522094000.0
4.32525,-106494000.0
4.33444,-165588000.0
4.34363,-299225000.0
4.35283,392661000.0
4.36202,27875300.0
4.37121,-364678000.0
4.3804,-276081000.0
4.3896,26804200.0
4.39879,-246651000.0
4.40798,-346889000.0
4.41717,-377263000.0
4.42637,-208884000.0
4.43556,-249118000.0
4.44475,-121039000.0
4.45394,-316722000.0
4.46314,-75659300.0
4.47233,-262137000.0
4.48152,109432000.0
4.49071,-181988000.0
4.49991,-349992000.0
4.5091,-167685000.0
4.51829,-243440000.0
4.52748,-105176000.0
4.53667,-138854000.0
4.54587,-100738000.0
4.55506,226421000.0
4.56425,-23030800.0
4.57344,-154992000.0
4.58264,-97801200.0
4.59183,46107600.0
4.60102,34038800.0
4.61021,10634200.0
4.61941,-81465300.0
4.6286,86715400.0
4.63779,164086000.0
4.64698,1721340.0
4.65618,-206174000.0
4.66537,21137400.0
4.67456,-19814400.0
4.68375,-218166000.0
4.69295,102958000.0
4.70214,425232000.0
4.71133,360390000.0
4.72052,175812000.0
4.72972,321743000.0
4.73891,176610000.0
4.7481,27580400.0
4.75729,-118149000.0
4.76649,-140679000.0
4.77568,368367000.0
4.78487,83706900.0
4.79406,-21269500.0
4.80326,92617700.0
4.81245,-206159000.0
4.82164,270442000.0
4.83083,210223000.0
4.84002,205125000.0
4.84922,86628400.0
4.85841,-686140000.0
4.8676,-285884000.0
4.87679,-200152000.0
4.88599,173919000.0
4.89518,-102749000.0
4.90437,-417971000.0
4.91356,11434000.0
4.92276,-110882000.0
4.93195,-245026000.0
4.94114,-40231900.0
4.95033,-27674600.0
4.95953,69353500.0
4.96872,24385500.0
4.97791,264345000.0
4.9871,194532000.0
4.9963,-85833700.0
5.00549,-18219000.0
5.01468,-91590700.0
5.02387,-243550000.0
5.03307,-154624000.0
5.04226,-96503800.0
5.05145,-20656100.0
5.06064,-192983000.0
5.06984,-414577000.0
5.07903,-161705000.0
5.08822,-157508000.0
5.09741,-172704000.0
5.10661,-268088000.0
5.1158,-253397000.0
5.12499,-57769000.0
5.13418,11791400.0
5.14337,17485800.0
5.15257,-421774000.0
5.16176,-27550700.0
5.17095,182270000.0
5.18014,-352923000.0
5.18934,-83452900.0
5.19853,-79003600.0
5.20772,-133585000.0
5.21691,-310360000.0
5.22611,-250628000.0
5.2353,-21490700.0
5.24449,188376000.0
5.25368,-9516030.0
5.26288,-264164000.0
5.27207,-143677000.0
5.28126,-342948000.0
5.29045,-5072900.0
5.29965,-368084000.0
5.30884,18175000.0
5.31803,-69090300.0
5.32722,140097000.0
5.33642,7532540.0
5.34561,-440577000.0
5.3548,133151000.0
5.36399,-40636400.0
5.37319,-48082900.0
5.38238,-257807000.0
5.39157,120982000.0
5.40076,-266792000.0
5.40996,-109548000.0
5.41915,81456100.0
5.42834,-85942300.0
5.43753,522578000.0
5.44672,233740000.0
5.45592,315919000.0
5.46511,1474560.0
5.4743,86078500.0
5.48349,-7217150.0
5.49269,-268396000.0
5.50188,210242000.0
5.51107,-36608000.0
5.52026,-17376300.0
5.52946,-128376000.0
5.53865,33413100.0
5.54784,-106421000.0
5.55703,47119400.0
5.56623,-313114000.0
5.57542,-159641000.0
5.58461,-22983700.0
5.5938,-122373000.0
5.603,-40034300.0
5.61219,254931000.0
5.62138,-68258800.0
5.63057,-380962000.0
5.63977,84687900.0
5.64896,112074000.0
5.65815,31408100.0
5.66734,62906400.0
5.67654,268123000.0
5.68573,-59100200.0
5.69492,-34203600.0
5.70411,41915400.0
5.71331,132382000.0
5.7225,-119105000.0
5.73169,153806000.0
5.74088,-426802000.0
5.75007,169143000.0
5.75927,-71996400.0
5.76846,64187400.0
5.77765,21057500.0
5.78684,74207200.0
5.79604,59771900.0
5.80523,-3503100.0
5.81442,431577000.0
5.82361,365361000.0
5.83281,-136465000.0
5.842,51472400.0
5.85119,-98698200.0
5.86038,-179447000.0
5.86958,92923900.0
5.87877,-16992300.0
5.88796,-293166000.0
5.89715,42515500.0
5.90635,266181000.0
5.91554,209418000.0
5.92473,24587300.0
5.93392,-124018000.0
5.94312,142302000.0
5.95231,-94543900.0
5.9615,429257000.0
5.97069,-16960500.0
5.97989,110872000.0
5.98908,242682000.0
5.99827,159041000.0
6.00746,-444374000.0
6.01666,-344876000.0
6.02585,-217399000.0
6.03504,1488900.0
6.04423,95291400.0
6.05342,-76959700.0
6.06262,32366600.0
6.07181,264335000.0
6.081,509763000.0
6.09019,-399826000.0
6.09939,104762000.0
6.10858,137657000.0
6.11777,334764000.0
6.12696,513337000.0
6.13616,-22913000.0
6.14535,30055400.0
6.15454,180963000.0
6.16373,11345900.0
6.17293,113657000.0
6.18212,158505000.0
6.19131,-14979100.0
6.2005,298569000.0
6.2097,37933100.0
6.21889,167134000.0
6.22808,-177261000.0
6.23727,-153402000.0
6.24647,60941300.0
6.25566,-197092000.0
6.26485,-187700000.0
6.27404,-91351000.0
6.28324,240328000.0
6.29243,-231005000.0
6.30162,-488687000.0
6.31081,-369845000.0
6.32001,-176438000.0
6.3292,170610000.0
6.33839,204311000.0
6.34758,200729000.0
